Entrada,Termo Buscado,Termo Encontrado,Distância,Preço do Frete
Jardim Iguatemi,Jardim Iguatemi,Jardim Iguatemi,5.51 km,"R$ 16,20"
Jardim Lago do Moinho,Jardim Lago do Moinho,Não encontrado,---,---
Jardim Morumbi,Jardim Morumbi,Jardim Morumbi,4.17 km,"R$ 13,50"
Jardim Nova América,Jardim Nova América,Não encontrado,---,---
Jardim Nova Bragança,Jardim Nova Bragança,Rua Brasil,26.00 km,"R$ 70,20"
Jardim Novo Mundo,Jardim Novo Mundo,Não encontrado,---,---
Jardim Panorama II,Jardim Panorama II,Não encontrado,---,---
Jardim Paturi,Jardim Paturi,Não encontrado,---,---
Jardim Paulista,Jardim Paulista,Jardim Paulista,27.06 km,"R$ 75,60"
Jardim Primavera,Jardim Primavera,Jardim Primavera,3.45 km,"R$ 10,80"
Jardim Recanto Alegre,Jardim Recanto Alegre,Não encontrado,---,---
Jardim Recreio,Jardim Recreio,Jardim Recreio,3.03 km,"R$ 10,80"
Jardim Santa Helena,Jardim Santa Helena,Jardim Santa Helena,5.41 km,"R$ 16,20"
Jardim Santa Lúcia,Jardim Santa Lúcia,Não encontrado,---,---
Jardim Santa Paulina,Jardim Santa Paulina,Não encontrado,---,---
Jardim Santa Rita de Cássia,Jardim Santa Rita de Cássia,Não encontrado,---,---
Jardim Santo Agostinho,Jardim Santo Agostinho,Não encontrado,---,---
Jardim São Cristóvão,Jardim São Cristóvão,Não encontrado,---,---
Jardim São José,Jardim São José,Jardim São José,2.96 km,"R$ 8,10"
Jardim São Lourenço,Jardim São Lourenço,Jardim São Lourenço,2.29 km,"R$ 8,10"
Jardim São Miguel,Jardim São Miguel,Jardim São Miguel,3.18 km,"R$ 10,80"
Jardim Sevilha,Jardim Sevilha,Não encontrado,---,---
Jardim Solar,Jardim Solar,Não encontrado,---,---
Jardim Vista Alegre,Jardim Vista Alegre,Jardim Vista Alegre,5.26 km,"R$ 16,20"
Jardins,Jardins,Alameda dos Jardins,6.50 km,"R$ 18,90"
Lagos de Santa Helena,Lagos de Santa Helena,Não encontrado,---,---
Lavapés,Lavapés,Lavapés,0.89 km,"R$ 2,70"
Loteamento Aeródromo Vale Eldorado,Loteamento Aeródromo Vale Eldorado,Não encontrado,---,---
Loteamento Bragança Paulista Lotes Urbanizados,Loteamento Bragança Paulista Lotes Urbanizados,Não encontrado,---,---
Loteamento Darcilândia,Loteamento Darcilândia,Não encontrado,---,---
